0	11011001100100000000101100
1	11011001100100000000101101
2	11011001100100000000101110
3	11011001100100000000101111
4	11011001100100000000110000
5	11011001100100000000110001
6	11011001100100000000110010
7	11011001100100000000110011
8	11011001100100000000110100
9	11011001100100000000110101
10	110001
11	11011001100100000000110110
12	11011001100100000000110111
13	110010
14	11011001100100000000111000
15	11011001100100000000111001
16	11011001100100000000111010
17	11011001100100000000111011
18	11011001100100000000111100
19	11011001100100000000111101
20	11011001100100000000111110
21	11011001100100000000111111
22	1101100110010000000000000
23	1101100110010000000000001
24	1101100110010000000000010
25	1101100110010000000000011
26	1101100110010000000000100
27	1101100110010000000000101
28	1101100110010000000000110
29	1101100110010000000000111
30	1101100110010000000001000
31	1101100110010000000001001
32	111
33	1101100001
34	11011001100100011
35	1101100110010000100
36	110110011001000001
37	1101100110010000001
38	11011001100100000001
39	110110011001000101
40	1101100011010
41	1101100011011
42	0111000010001
43	1101100110010000000001010
44	011101
45	1101100111
46	1001100
47	011100001000011
48	0111000111100
49	011100001001
50	11011000110011
51	11011000110010
52	01110001111011
53	01110001111101
54	01110000100000
55	01110001111010
56	01110001111100
57	110110011001001
58	100110111001
59	110110010
60	1101100110010000000001011
61	1101100110010000000001100
62	1101100110010000000001101
63	11011101101
64	1101100110010000101
65	011100000
66	1101100000
67	1001101001
68	11011000111
69	0111000011
70	10011011001
71	10011011000
72	1001101101
73	110111010
74	100110111000
75	1101100011000
76	11011001101
77	1001101111
78	10011011101
79	01110000101
80	11011101110
81	1101100110011
82	01110001110
83	1101100010
84	011100010
85	0111000111111
86	11011001100101
87	1001101011
88	0111000010000101
89	110110011000
90	0111000010000100
91	110110011001000011
92	1101100110010000000001110
93	110110011001000100
94	1101100110010000000001111
95	1001101010
96	1101100110010000000010000
97	1000
98	1101101
99	101011
100	10010
101	000
102	100111
103	011111
104	0011
105	0100
106	11011101111
107	11011100
108	10100
109	110000
110	0101
111	0110
112	1101111
113	0111000110
114	11010
115	0010
116	1011
117	110011
118	0111001
119	101010
120	1001101000
121	011110
122	11011101100
123	1101100110010000000010001
124	1101100110010000000010010
125	1101100110010000000010011
126	1101100110010000000010100
127	1101100110010000000010101
